عدد الساعات لمسجل عليها,المعدل التراكمي التقريبي من 100,نسبة الحضور في جميع المقررات من 100,عدد المرات التي تأخرت بها عن تسديد القسط,عدد المرات التي لم تتأخر بها عن تسديد القسط,عدد الاخوة والاخوات الطلاب في التعليم الجامعي الخاص,قيمة القسط الفصلي بشكل تقديري,عدد الاشخاص العاملين بالاسرة,بعد سكن الطالب عن مركز الجامعة بالكيلو متر,target_class,target_delay_days,السنة_الدراسية_ord,الدخل_الشهري_ord,هل_تعمل_bin,هل_سبق_تأخر_bin,أقساط_سابقة_غير_مسددة_bin,الفرع_علوم طبية وصحية,الفرع_هندسة مدنية,الفرع_هندسة معلوماتية,من المسؤول عن دفع القسط_الطالب,من المسؤول عن دفع القسط_جهة داعمة,من المسؤول عن دفع القسط_منحة,المحافظة_اللاذقية,المحافظة_حلب,المحافظة_حماه,المحافظة_حمص,المحافظة_درعا,المحافظة_دمشق,المحافظة_دير الزور,المحافظة_ريف دمشق,السكن_مخيم,السكن_ملك
9.0,68.0,70,3.0,10.0,1.0,150.0,1,20.0,1,7.0,4,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
9.0,90.0,95,1.0,1.0,2.0,150.0,3,50.0,0,20.0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
18.0,83.0,100,2.0,1.0,1.0,250.0,2,3.0,1,7.0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.0,72.0,90,1.0,5.0,1.0,740.0,1,1.0,1,1.0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.0,74.0,70,1.0,12.0,1.0,300.0,5,10.0,1,1.0,3,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
6.0,74.0,20,2.0,6.0,2.0,200.0,2,20.0,0,14.0,4,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1
9.0,83.0,50,5.0,1.0,1.0,300.0,2,3.0,0,2.0,3,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
9.0,70.0,10,1.0,3.0,1.0,130.0,2,100.0,1,10.0,3,3,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
9.0,75.0,70,1.0,1.0,3.0,608.0,1,5.0,1,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.0,70.0,70,2.0,1.0,2.0,770.0,1,100.0,0,21.0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7.0,70.0,100,1.0,2.0,1.0,200.0,1,167.0,1,7.0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9.0,85.0,80,1.0,4.0,2.0,200.0,1,200.0,0,1.0,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
32.0,87.0,99,1.0,1.0,1.0,670.0,1,51.0,1,30.0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18.0,72.0,100,2.0,1.0,1.0,400.0,3,70.0,0,7.0,2,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
8.0,70.0,70,1.0,5.0,2.0,70.0,1,5.0,1,7.0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9.0,75.0,85,7.0,5.0,1.0,200.0,1,40.0,1,10.0,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9.0,40.0,70,1.0,1.0,1.0,100.0,1,100.0,1,7.0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17.0,83.0,97,1.0,2.0,1.0,600.0,3,35.0,1,1.0,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6.0,71.0,1,1.0,4.0,1.0,260.0,2,60.0,1,7.0,3,2,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
9.0,75.0,50,10.0,1.0,4.0,150.0,2,120.0,0,30.0,3,2,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
9.0,70.0,65,1.0,3.0,1.0,500.0,3,5.0,1,1.0,1,2,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
9.0,72.0,70,1.0,5.0,2.0,350.0,2,20.0,1,1.0,2,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
15.0,85.0,95,4.0,1.0,2.0,200.0,2,85.0,0,20.0,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
18.0,80.0,100,1.0,2.0,3.0,200.0,3,10.0,1,1.0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10.0,82.0,100,1.0,6.0,2.0,75.0,1,10.0,1,2.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9.0,70.0,85,3.0,6.0,2.0,50.0,2,20.0,0,7.0,4,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
9.0,84.0,50,2.0,4.0,1.0,220.0,2,10.0,1,10.0,3,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
3.0,70.0,20,1.0,4.0,1.0,150.0,2,7.0,1,1.0,4,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
9.0,65.0,50,1.0,8.0,1.0,137.0,3,125.0,1,3.0,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9.0,74.0,70,1.0,7.0,2.0,300.0,4,5.0,1,1.0,4,2,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
9.0,75.0,80,2.0,7.0,1.0,200.0,1,2.0,1,10.0,3,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6.0,65.0,50,4.0,1.0,1.0,200.0,2,5.0,1,30.0,1,2,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
